Run Number,He3 Polarization,Beam Polarization
2033,100,100
2034,100,100
2035,100,100
2036,100,100
2037,100,100
2038,100,100
2039,100,100
2040,100,100
2042,100,100
2045,100,100
2046,100,100
2047,100,100
2053,100,100
2054,100,100
2062,100,100
2080,100,100
2081,100,100
2082,100,100
2083,100,100
2084,100,83
2085,100,100
2125,100,100
2126,100,100
2127,100,100
2128,100,100
2131,100,100
2132,100,100
2133,100,100
2134,100,100
2136,100,100
2137,100,100
2138,100,100
2141,100,100
2143,100,100
2145,100,100
2146,100,100
2149,100,100
2164,100,100
2165,100,100
2168,100,100
2169,100,100
2170,100,100
2171,100,100
2172,100,100
2173,100,100
2174,100,100
2175,100,100
2176,100,100
2199,100,100
2200,100,100
2201,100,100
2203,100,100
2204,100,100
2206,100,100
2208,100,100
2209,100,100
2210,100,100
2211,100,100
2212,100,100
2213,100,100
2214,100,100
2215,100,100
2216,100,100
2217,100,100
2218,100,100
2219,100,100
2220,100,100
2221,100,100
2222,100,100
2223,100,100
2224,100,100
2225,100,100
2226,100,100
2227,100,100
2228,100,100
2229,100,100
2230,100,100
2231,100,100
2232,100,100
2233,100,100
2234,100,100
2235,100,100
2236,100,100
2237,100,100
2238,100,100
2239,100,100
2240,100,100
2241,100,100
2242,100,100
2243,100,100
2244,100,100
2245,100,100
2246,100,100
2247,100,100
2248,100,100
2250,100,100
2251,100,100
2252,100,100
2253,100,100
2254,100,100
2255,100,100
2256,100,100
2257,100,100
2258,100,100
2259,100,100
2260,100,100
2275,100,100
2276,100,100
2302,100,100
2303,100,100
2304,100,100
2305,100,100
2306,100,100
2307,100,100
2309,100,100
2310,100,100
2313,100,100
2314,100,100
2315,100,100
2316,100,100
2318,100,100
2319,100,100
2320,100,100
2321,100,100
2322,100,100
2323,100,100
