Run Number, good quality (0/1 = bad/good)
2033,1
2034,0
2035,1
2036,0
2037,0
2038,0
2039,0
2040,0
2042,1
2045,0
2046,1
2047,0
2053,0
2054,0
2062,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2125,0
2126,0
2127,0
2128,0
2131,1
2132,0
2133,0
2134,0
2136,0
2137,0
2138,0
2141,1
2143,1
2145,0
2146,1
2149,0
2164,1
2165,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,1
2175,1
2176,1
2199,1
2200,1
2201,1
2203,1
2204,1
2206,1
2208,1
2209,1
2210,1
2211,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,1
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,1
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2275,1
2276,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2309,1
2310,1
2313,1
2314,1
2315,0
2316,1
2318,1
2319,1
2320,1
2321,1
2322,1
2323,1
2506,1
2507,1
2511,1
2512,1
2516,1
2517,1
2518,1
2519,1
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2531,1
2535,1
2536,1
2537,1
2539,1
2540,1
2541,1
2542,1
2543,1
2544,1
2545,1
2551,1
2552,1
2553,1
2554,1
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2561,1
2562,1
2563,1
2564,1
2565,1
2566,1
2568,1
2569,1
2574,1
2570,1
2571,1
2572,1
2574,1
2575,1
2576,1
2577,1
2578,1
2579,1
2580,1
2581,1
2583,1
2584,1
2585,1
2586,1
2587,1
2613,1
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,1
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,1
2634,1
2635,1
2637,1
2638,1
2646,1
2647,1
2648,1
2649,1
2650,1
2651,1
2658,1
2659,1
2660,1
2661,1
2662,1
2667,1
2668,1
2669,1
2670,1
2671,1
2674,1
2676,1
2677,1
2678,1
2679,1
2680,1
2681,1
2683,1
2684,1
2685,1
2687,1
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,1
2697,1
2698,1
2699,1
2700,1
2701,1
2702,1
2703,1
2704,1
2705,1
2706,1
2707,1
2709,1
2710,1
2711,1
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,1
2719,1
2720,1
2721,1
2722,1
2723,1
2724,1
2725,1
2726,1
2727,1
2728,1
2729,1
2730,1
2763,1
2764,1
2765,1
2766,1
2767,1
2768,1
2769,1
2770,1
2959,1
2964,1
2966,1
2967,1
2968,1
2970,1
2971,1
2973,1
2974,1
2976,1
2981,1
2983,1
2984,1
2985,1
2986,1
2988,1
2989,1
2990,1
2995,1
2996,1
2997,1
2998,1
2999,1
3000,1
3001,1
3003,1
3004,1
3005,1
3006,1
3007,1
3008,1
3009,1
3011,1
3013,1
3014,1
3016,1
3017,1
3018,1
3019,1
3020,1
3021,1
3022,1
3024,1
3025,1
3026,1
3027,1
3028,1
3029,1
3030,1
3035,1
3036,1
3037,1
3038,1
3039,1
3043,1
3045,1
3046,1
3047,1
3048,1
3049,1
3050,1
3051,1
3052,1
3054,1
3055,1
3058,1
3059,1
3061,1
3062,1
3063,1
3064,1
3065,1
3068,1
3069,1
3075,1
3076,1
3077,1
3079,1
3080,1
3082,1
3089,1
3090,1
3091,1
3092,1
3093,1
3108,1
3109,1
3110,1
3111,1
3112,1
3113,1
3114,1
3115,1
3116,1
3117,1
3118,1
3119,1
3120,1
3121,1
3122,1
3123,1
3124,1
3126,1
3127,1
3134,1
3135,1
3136,1
3138,1
3139,1
3140,1
3141,1
3149,1
3150,1
3151,1
3152,1
3158,1
3159,1
3160,1
3161,1
3162,1
3163,1
3164,1
3165,1
3166,1
3167,1
3170,1
3171,1
3173,1
3174,1
3176,1
3177,1
3178,1
3179,1
3180,1
3181,1
3182,1
3183,1
3184,1
3185,1
3186,1
3188,1
3190,1
3191,1
3192,1
3193,1
3194,1
3195,1
3196,1
3197,1
3198,1
3199,1
3200,1
3201,1
3202,1
3203,1
3204,1
3205,1
3212,1
3213,1
3214,1
3215,1
3217,1
3218,1
3219,1
3220,1
3221,1
3222,1
3223,1
3224,1
3225,1
3226,1
3227,1
3228,1
3229,1
3230,1
3231,1
3239,1
3240,1
3241,1
3242,1
3243,1
3244,1
3245,1
3246,1
3247,1
3248,1
3249,1
3250,1
3510,1
3511,1
3512,1
3514,1
3515,1
3517,1
3518,1
3519,1
3520,1
3521,1
3523,1
3524,1
3525,1
3526,1
3552,1
3553,1
3554,1
3555,1
3556,1
3557,1
3558,1
3559,1
3560,1
3561,1
3562,1
3563,1
3578,1
3579,1
3580,1
3581,1
3582,1
3583,1
3588,1
3589,1
3590,1
3591,1
3592,1
3593,1
3594,1
3595,1
3596,1
3671,1
3672,1
3673,1
3694,1
3695,1
3696,1
3697,1
3698,1
3701,1
3702,1
3703,1
3704,1
3705,1
3706,1
3708,1
3709,1
3710,1
3711,1
3712,1
3713,1
3714,1
3715,1
3716,1
3717,1
3718,1
3719,1
3720,1
3721,1
3722,1
3723,1
3729,1
3730,1
3731,1
3732,1
3733,1
3734,1
3737,1
3738,1
3739,1
3740,1
3741,1
3742,1
3747,1
3748,1
3749,1
3750,1
3752,1
3753,1
3754,1
3755,1
3756,1
3758,1
3759,1
3761,1
3762,1
3763,1
3764,1
3765,1
3766,1
3767,1
3782,1
3783,1
3784,1
3786,1
3787,1
3788,1
3789,1
3790,1
3791,1
3792,1
3794,0
3795,1
3796,1
3810,1
3811,1
3812,1
3813,1
3815,1
3822,1
3823,1
3824,1
3825,1
3826,1
3827,1
3828,1
3829,1
3830,1
3832,1
3833,1
3835,1
3836,1
3837,1
3838,1
3839,1
